Fecha,Comuna,Casos Confirmados,CUT
31-03-2020,Curacautín,0,09203
31-03-2020,Curarrehue,2,09104
31-03-2020,Ercilla,0,09204
31-03-2020,Freire,2,09105
31-03-2020,Galvarino,1,09106
31-03-2020,Gorbea,6,09107
31-03-2020,Lautaro,8,09108
31-03-2020,Loncoche,2,09109
31-03-2020,Lonquimay,0,09205
31-03-2020,Los Sauces,0,09206
31-03-2020,Lumaco,0,09207
31-03-2020,Melipeuco,0,09110
31-03-2020,Nueva Imperial,2,09111
31-03-2020,Padre Las Casas,14,09112
31-03-2020,Perquenco,1,09113
31-03-2020,Pitrufquén,6,09114
31-03-2020,Pucón,3,09115
31-03-2020,Purén,1,09208
31-03-2020,Renaico,0,09209
31-03-2020,Saavedra,0,09116
31-03-2020,Temuco,225,09101
31-03-2020,Teodoro Schmidt,4,09117
31-03-2020,Toltén,3,09118
31-03-2020,Traiguén,0,09210
31-03-2020,Victoria,7,09211
31-03-2020,Vilcún,5,09119
31-03-2020,Villarrica,4,09120
31-03-2020,Corral,0,14102
31-03-2020,Futrono,2,14202
31-03-2020,La Unión,9,14201
31-03-2020,Lago Ranco,1,14203
31-03-2020,Lanco,1,14103
31-03-2020,Los Lagos,0,14104
31-03-2020,Máfil,1,14105
31-03-2020,Mariquina,2,14106
31-03-2020,Paillaco,1,14107
31-03-2020,Panguipulli,0,14108
31-03-2020,Río Bueno,2,14204
31-03-2020,Valdivia,45,14101
31-03-2020,Ancud,0,10202
31-03-2020,Calbuco,5,10102
31-03-2020,Castro,1,10201
31-03-2020,Chaitén,1,10401
31-03-2020,Chonchi,0,10203
31-03-2020,Cochamó,0,10103
31-03-2020,Curaco de Vélez,0,10204
31-03-2020,Dalcahue,0,10205
31-03-2020,Fresia,0,10104
31-03-2020,Frutillar,0,10105
31-03-2020,Futaleufú,0,10402
31-03-2020,Hualaihué,3,10403
31-03-2020,Llanquihue,0,10107
31-03-2020,Los Muermos,1,10106
31-03-2020,Maullín,0,10108
31-03-2020,Osorno,120,10301
31-03-2020,Palena,0,10404
31-03-2020,Puerto Montt,44,10101
31-03-2020,Puerto Octay,1,10302
31-03-2020,Puerto Varas,1,10109
31-03-2020,Puqueldón,0,10206
31-03-2020,Purranque,1,10303
31-03-2020,Puyehue,1,10304
31-03-2020,Queilén,0,10207
31-03-2020,Quellón,0,10208
31-03-2020,Quemchi,0,10209
31-03-2020,Quinchao,1,10210
31-03-2020,Río Negro,0,10305
31-03-2020,San Juan de la Costa,0,10306
31-03-2020,San Pablo,1,10307
31-03-2020,Aysén,1,11201
31-03-2020,Chile Chico,0,11401
31-03-2020,Cisnes,0,11202
31-03-2020,Cochrane,0,11301
31-03-2020,Coyhaique,2,11101
31-03-2020,Guaitecas,0,11203
31-03-2020,Lago Verde,0,11102
31-03-2020,O'Higgins,0,11302
31-03-2020,Río Ibáñez,0,11402
31-03-2020,Tortel,0,11303
31-03-2020,Antártica,0,12202
31-03-2020,Cabo de Hornos,6,12201
31-03-2020,Laguna Blanca,0,12102
31-03-2020,Natales,4,12401
31-03-2020,Porvenir,2,12301
31-03-2020,Primavera,0,12302
31-03-2020,Punta Arenas,87,12101
31-03-2020,Río Verde,0,12103
31-03-2020,San Gregorio,0,12104
31-03-2020,Timaukel,0,12303
31-03-2020,Torres del Paine,0,12402
