ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
7139,Recinto - Los Lleuques,16,16106,PINTO,-7975720.70295556,-4416698.16033827,-7976967.85025625,-4416663.36601004,-7976933.14024397,-4415410.91539151,-7975686.13880889,-4415445.69430063
7140,Gran Concepción,8,8112,HUALPÉN,-8138995.67939152,-4412145.44625646,-8140240.40239179,-4412091.50496066,-8140186.6326828,-4410841.48816285,-8138942.05442952,-4410895.40559229
7141,Gran Concepción,8,8112,HUALPÉN,-8137750.93259978,-4412199.24213999,-8138995.67939152,-4412145.44625646,-8138942.05442952,-4410895.40559229,-8137697.45239569,-4410949.17767344
7142,Gran Concepción,8,8112,HUALPÉN,-8136506.16208044,-4412252.89260031,-8137750.93259978,-4412199.24213999,-8137697.45239569,-4410949.17767344,-8136452.82664518,-4411002.80439538
7143,Gran Concepción,8,8112,HUALPÉN,-8135261.36789737,-4412306.39762648,-8136506.16208044,-4412252.89260031,-8136452.82664518,-4411002.80439538,-8135208.17724182,-4411056.28574717
7144,Gran Concepción,8,8112,HUALPÉN,-8134016.55011447,-4412359.75720763,-8135261.36789737,-4412306.39762648,-8135208.17724182,-4411056.28574717,-8133963.50424947,-4411109.62171794
7145,Gran Concepción,8,8101,CONCEPCIÓN,-8132771.70879564,-4412412.97133287,-8134016.55011447,-4412359.75720763,-8133963.50424947,-4411109.62171794,-8132718.80773201,-4411162.81229683
7146,Gran Concepción,8,8101,CONCEPCIÓN,-8131526.84400478,-4412466.03999137,-8132771.70879564,-4412412.97133287,-8132718.80773201,-4411162.81229683,-8131474.0877533,-4411215.85747299
7147,Gran Concepción,8,8101,CONCEPCIÓN,-8130281.9558058,-4412518.96317234,-8131526.84400478,-4412466.03999137,-8131474.0877533,-4411215.85747299,-8130229.34437724,-4411268.75723565
7148,Gran Concepción,8,8101,CONCEPCIÓN,-8129037.04426261,-4412571.74086498,-8130281.9558058,-4412518.96317234,-8130229.34437724,-4411268.75723565,-8128984.57766771,-4411321.51157403
7149,Gran Concepción,8,8101,CONCEPCIÓN,-8127792.10943915,-4412624.37305855,-8129037.04426261,-4412571.74086498,-8128984.57766771,-4411321.51157403,-8127739.7876886,-4411374.12047739
7150,Juan Riquelme,8,8101,CONCEPCIÓN,-8121567.08835568,-4412885.35116623,-8122812.13862135,-4412833.44662821,-8122760.39635466,-4411583.1015268,-8121515.49098642,-4411634.98309496
7151,Juan Riquelme,8,8101,CONCEPCIÓN,-8121567.08835568,-4412885.35116623,-8121515.49098642,-4411634.98309496,-8120270.56273214,-4411686.71916426,-8120322.01519344,-4412937.11014131
7152,Florida,8,8104,FLORIDA,-8087942.28602728,-4414231.71695407,-8089187.93202221,-4414183.74623118,-8089140.10559623,-4412932.80346078,-8087894.60477276,-4412980.75294681
7153,Florida,8,8104,FLORIDA,-8086696.61886576,-4414279.54183958,-8087942.28602728,-4414231.71695407,-8087894.60477276,-4412980.75294681,-8086649.08279243,-4413028.55665975
7154,Santa Clara,16,16102,BULNES,-8053055.83917368,-4415515.65227448,-8054302.05355452,-4415471.76858907,-8054258.29551513,-4414220.2555083,-8053012.22656739,-4414264.11975935
7155,Santa Clara,16,16102,BULNES,-8051809.60542555,-4415559.38986051,-8053055.83917368,-4415515.65227448,-8053012.22656739,-4414264.11975935,-8051766.13826129,-4414307.83797548
7156,Santa Clara,16,16102,BULNES,-8051809.60542555,-4415559.38986051,-8051766.13826129,-4414307.83797548,-8050520.03066115,-4414351.41014778,-8050563.3523745,-4415602.98133823
7157,Quiriquina,16,16108,SAN IGNACIO,-8025634.33690111,-4416444.11465455,-8026880.96248656,-4416403.44717309,-8026840.40599044,-4415151.52143809,-8025593.92602751,-4415192.17090492
7158,Recinto - Los Lleuques,16,16106,PINTO,-7977002.5756923,-4417915.96188501,-7978249.85349239,-4417881.00554059,-7978214.98213317,-4416628.42515664,-7976967.85025625,-4416663.36601004
7159,Recinto - Los Lleuques,16,16106,PINTO,-7975755.28246132,-4417950.77163945,-7977002.5756923,-4417915.96188501,-7976967.85025625,-4416663.36601004,-7975720.70295556,-4416698.16033827
7160,Gran Concepción,8,8112,HUALPÉN,-8137804.43653146,-4413449.4507644,-8139049.328145,-4413395.63106757,-8138995.67939152,-4412145.44625646,-8137750.93259978,-4412199.24213999
7161,Gran Concepción,8,8112,HUALPÉN,-8136559.52117941,-4413503.12497399,-8137804.43653146,-4413449.4507644,-8137750.93259978,-4412199.24213999,-8136506.16208044,-4412252.89260031
7162,Gran Concepción,8,8112,HUALPÉN,-8135314.58215275,-4413556.6536854,-8136559.52117941,-4413503.12497399,-8136506.16208044,-4412252.89260031,-8135261.36789737,-4412306.39762648
7163,Gran Concepción,8,8101,CONCEPCIÓN,-8134069.61951541,-4413610.03688775,-8135314.58215275,-4413556.6536854,-8135261.36789737,-4412306.39762648,-8134016.55011447,-4412359.75720763
7164,Gran Concepción,8,8101,CONCEPCIÓN,-8132824.6333313,-4413663.27457015,-8134069.61951541,-4413610.03688775,-8134016.55011447,-4412359.75720763,-8132771.70879564,-4412412.97133287
7165,Gran Concepción,8,8101,CONCEPCIÓN,-8131579.62366437,-4413716.36672177,-8132824.6333313,-4413663.27457015,-8132771.70879564,-4412412.97133287,-8131526.84400478,-4412466.03999137
7166,Gran Concepción,8,8101,CONCEPCIÓN,-8130334.59057855,-4413769.31333177,-8131579.62366437,-4413716.36672177,-8131526.84400478,-4412466.03999137,-8130281.9558058,-4412518.96317234
7167,Gran Concepción,8,8101,CONCEPCIÓN,-8129089.53413778,-4413822.11438939,-8130334.59057855,-4413769.31333177,-8130281.9558058,-4412518.96317234,-8129037.04426261,-4412571.74086498
7168,Gran Concepción,8,8101,CONCEPCIÓN,-8127844.45440603,-4413874.76988387,-8129089.53413778,-4413822.11438939,-8129037.04426261,-4412571.74086498,-8127792.10943915,-4412624.37305855
7169,Gran Concepción,8,8101,CONCEPCIÓN,-8126599.35144726,-4413927.27980447,-8127844.45440603,-4413874.76988387,-8127792.10943915,-4412624.37305855,-8126547.15139935,-4412676.85974234
7170,Gran Concepción,8,8101,CONCEPCIÓN,-8125354.22532544,-4413979.64414051,-8126599.35144726,-4413927.27980447,-8126547.15139935,-4412676.85974234,-8125302.17020715,-4412729.20090564
7171,Gran Concepción,8,8101,CONCEPCIÓN,-8124109.07610455,-4414031.8628813,-8125354.22532544,-4413979.64414051,-8125302.17020715,-4412729.20090564,-8124057.16592649,-4412781.39653781
7172,Florida,8,8104,FLORIDA,-8090481.54966895,-4415386.69570116,-8091727.29835424,-4415338.41195767,-8091679.16025562,-4414087.36731242,-8090433.55678637,-4414135.62968069
7173,Florida,8,8104,FLORIDA,-8089235.77967894,-4415434.83356256,-8090481.54966895,-4415386.69570116,-8090433.55678637,-4414135.62968069,-8089187.93202221,-4414183.74623118
7174,Florida,8,8104,FLORIDA,-8087989.9884484,-4415482.82553206,-8089235.77967894,-4415434.83356256,-8089187.93202221,-4414183.74623118,-8087942.28602728,-4414231.71695407
7175,Florida,8,8104,FLORIDA,-8087989.9884484,-4415482.82553206,-8087942.28602728,-4414231.71695407,-8086696.61886576,-4414279.54183958,-8086744.17604151,-4415530.67159986
7176,Santa Clara,16,16102,BULNES,-8054345.83102554,-4416723.42649282,-8055592.17146326,-4416679.37720919,-8055548.24850374,-4415427.73881323,-8054302.05355452,-4415471.76858907
7177,Santa Clara,16,16102,BULNES,-8053099.47114724,-4416767.32962153,-8054345.83102554,-4416723.42649282,-8054302.05355452,-4415471.76858907,-8053055.83917368,-4415515.65227448
7178,Santa Clara,16,16102,BULNES,-8053099.47114724,-4416767.32962153,-8053055.83917368,-4415515.65227448,-8051809.60542555,-4415559.38986051,-8051853.09189274,-4416811.08658636
7179,Quiriquina,16,16108,SAN IGNACIO,-8025674.76572476,-4417696.20342516,-8026921.53699722,-4417655.51792078,-8026880.96248656,-4416403.44717309,-8025634.33690111,-4416444.11465455
7180,Recinto - Los Lleuques,16,16106,PINTO,-7975789.87733327,-4419203.52826871,-7977037.31655924,-4419168.70308097,-7977002.5756923,-4417915.96188501,-7975755.28246132,-4417950.77163945
7181,Recinto - Los Lleuques,16,16106,PINTO,-7974542.42273403,-4419238.20679451,-7975789.87733327,-4419203.52826871,-7975755.28246132,-4417950.77163945,-7974507.97386415,-4417985.43479678
